species,lat_cat,elev_cat,year,area,age,val,pven,measure,nichemapr
herbertensis,-17,1200,1956,ventral,adult,0.0110175,0.325335689,lenght,LHAIRV
herbertensis,NA,NA,1964,dorsal,adult,0.01757158333333333,0.269755633,lenght,LHAIRD
herbertensis,NA,NA,1964,ventral,adult,0.01757158333333333,0.269755633,lenght,LHAIRV
lemuroides,-17.5,700,1912,dorsal,adult,0.016098125,0.3123149,lenght,LHAIRD
lemuroides,-17.5,700,1912,ventral,adult,0.016098125,0.3123149,lenght,LHAIRV
lemuroides,-17.5,900,1988,dorsal,adult,0.0159443,0.341871307,lenght,LHAIRD
lemuroides,-17.5,900,1988,ventral,adult,0.0159443,0.341871307,lenght,LHAIRV
lemuroides,-17.5,1000,2008,dorsal,adult,0.016051805555555555,0.336943442,lenght,LHAIRD
lemuroides,-17.5,1000,2008,ventral,adult,0.016051805555555555,0.336943442,lenght,LHAIRV
lemuroides,-17.5,1100,1956,dorsal,adult,0.0096585,0.32878330899999997,lenght,LHAIRD
lemuroides,-17.5,1100,1956,dorsal,baby,0.0096585,0.352773826,lenght,LHAIRD
lemuroides,-17.5,1100,1956,ventral,adult,0.0096585,0.32878330899999997,lenght,LHAIRV
lemuroides,-17.5,1100,1956,ventral,baby,0.0096585,0.352773826,lenght,LHAIRV
lemuroides,-17,500,1922,dorsal,adult,0.015537916666666665,0.337522225,lenght,LHAIRD
lemuroides,-17,500,1922,ventral,adult,0.015537916666666665,0.337522225,lenght,LHAIRV
lemuroides,-17,500,1956,dorsal,adult,0.017277,0.328206665,lenght,LHAIRD
lemuroides,-17,500,1956,ventral,adult,0.017277,0.328206665,lenght,LHAIRV
lemuroides,-17,800,1956,dorsal,adult,0.014190916666666668,0.316733661,lenght,LHAIRD
lemuroides,-17,800,1956,ventral,adult,0.014190916666666668,0.316733661,lenght,LHAIRV
lemuroides,-17,1200,1938,dorsal,adult,0.015920083333333335,0.358888186,lenght,LHAIRD
lemuroides,-17,1200,1938,ventral,adult,0.015920083333333335,0.358888186,lenght,LHAIRV
lemuroides,-17,1200,1956,dorsal,adult,0.016895833333333332,0.359710874,lenght,LHAIRD
lemuroides,-17,1200,1956,ventral,adult,0.016895833333333332,0.359710874,lenght,LHAIRV
lemuroides,-16.5,1200,1979,dorsal,adult,0.015114416666666667,0.299516908,lenght,LHAIRD
lemuroides,-16.5,1200,1979,ventral,adult,0.015114416666666667,0.299516908,lenght,LHAIRV
